evaluation_mode,test_source_name,train_source_names,model_name,target_name,n_train,n_test,rmse_k,mae_k,bias_k,target_std_k,normalized_rmse,rmse_reduction_vs_baseline_pct
in_distribution_leave_one_profile_out,winter_midlatitude_maritime_sample,winter_midlatitude_maritime_sample,mean_baseline,lower_layer_mean_temperature_k,79,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
in_distribution_leave_one_profile_out,winter_midlatitude_maritime_sample,winter_midlatitude_maritime_sample,linear_regression,lower_layer_mean_temperature_k,79,80,1.0498487730535708,0.8491546234123952,0.003414762822193751,1.3739092584337618,0.7641325412206512,24.541911554460537
in_distribution_leave_one_profile_out,winter_midlatitude_maritime_sample,winter_midlatitude_maritime_sample,ridge_regression,lower_layer_mean_temperature_k,79,80,1.0493921062936258,0.8491350301879799,0.0033759859781959277,1.3739092584337618,0.7638001562708142,24.57473456825694
in_distribution_leave_one_profile_out,lower_latitude_maritime_2020,lower_latitude_maritime_2020,mean_baseline,lower_layer_mean_temperature_k,99,100,0.440528023832331,0.33445630930890957,-6.8212102632969615e-15,0.43612274359400777,1.01010101010101,0.0
in_distribution_leave_one_profile_out,lower_latitude_maritime_2020,lower_latitude_maritime_2020,linear_regression,lower_layer_mean_temperature_k,99,100,0.21956891776414394,0.1766306708496677,0.0006778649974955897,0.43612274359400777,0.503456701099137,50.15778659118541
in_distribution_leave_one_profile_out,lower_latitude_maritime_2020,lower_latitude_maritime_2020,ridge_regression,lower_layer_mean_temperature_k,99,100,0.21950123457822984,0.17652293077781678,0.0006778750666694577,0.43612274359400777,0.5033015081244337,50.173150695681045
in_distribution_leave_one_profile_out,high_latitude_continental_2020,high_latitude_continental_2020,mean_baseline,lower_layer_mean_temperature_k,59,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
in_distribution_leave_one_profile_out,high_latitude_continental_2020,high_latitude_continental_2020,linear_regression,lower_layer_mean_temperature_k,59,60,0.9138110705018708,0.6781272748199962,0.0016885720206862706,1.9301439415397743,0.47344192877805635,53.444877003491065
in_distribution_leave_one_profile_out,high_latitude_continental_2020,high_latitude_continental_2020,ridge_regression,lower_layer_mean_temperature_k,59,60,0.9117330337340087,0.6810205984880511,0.001083995059343105,1.9301439415397743,0.47236530608524085,53.55074490161793
cross_regime_holdout,winter_midlatitude_maritime_sample,"lower_latitude_maritime_2020,high_latitude_continental_2020",mean_baseline,lower_layer_mean_temperature_k,160,80,1.9553392184080343,1.4300520835320008,1.3913032770156668,1.3739092584337618,1.4231938582589472,0.0
cross_regime_holdout,winter_midlatitude_maritime_sample,"lower_latitude_maritime_2020,high_latitude_continental_2020",linear_regression,lower_layer_mean_temperature_k,160,80,3.9762255078408972,3.828718014184159,-3.828718014184159,1.3739092584337618,2.894096159140627,-103.35220970396097
cross_regime_holdout,winter_midlatitude_maritime_sample,"lower_latitude_maritime_2020,high_latitude_continental_2020",ridge_regression,lower_layer_mean_temperature_k,160,80,4.230580174904792,4.086752184763506,-4.086752184763506,1.3739092584337618,3.0792282306384604,-116.36042151034927
cross_regime_holdout,lower_latitude_maritime_2020,"winter_midlatitude_maritime_sample,high_latitude_continental_2020",mean_baseline,lower_layer_mean_temperature_k,140,100,24.197603025238028,24.19367250170028,-24.19367250170028,0.43612274359400777,55.483469689817156,0.0
cross_regime_holdout,lower_latitude_maritime_2020,"winter_midlatitude_maritime_sample,high_latitude_continental_2020",linear_regression,lower_layer_mean_temperature_k,140,100,7.64403240964584,7.616771501494133,7.616771501494133,0.43612274359400777,17.52725011920444,68.40996026890292
cross_regime_holdout,lower_latitude_maritime_2020,"winter_midlatitude_maritime_sample,high_latitude_continental_2020",ridge_regression,lower_layer_mean_temperature_k,140,100,8.301137315533474,8.28043498940674,8.28043498940674,0.43612274359400777,19.033947294574272,65.69438176634515
cross_regime_holdout,high_latitude_continental_2020,"winter_midlatitude_maritime_sample,lower_latitude_maritime_2020",mean_baseline,lower_layer_mean_temperature_k,180,60,29.775840243852304,29.713216025740998,29.713216025740998,1.9301439415397743,15.426745955588471,0.0
cross_regime_holdout,high_latitude_continental_2020,"winter_midlatitude_maritime_sample,lower_latitude_maritime_2020",linear_regression,lower_layer_mean_temperature_k,180,60,6.735562727473872,6.676569613838444,6.676569613838444,1.9301439415397743,3.489668610984821,77.37910106881188
cross_regime_holdout,high_latitude_continental_2020,"winter_midlatitude_maritime_sample,lower_latitude_maritime_2020",ridge_regression,lower_layer_mean_temperature_k,180,60,7.182126005152307,7.126755577093863,7.126755577093863,1.9301439415397743,3.7210312923204882,75.8793506872231
