target_name,model_name,feature_case,grouping,source_name,n_samples,rmse_k,mae_k,bias_k,target_std_k,normalized_rmse,rmse_reduction_vs_baseline_pct
lower_layer_mean_temperature_k,mean_baseline,full_3channel,global,,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,linear_regression,full_3channel,global,,240,1.3579228821532818,1.06715405201456,-0.00041729361354327923,14.459286213124718,0.093913548852826,90.64777576007275
lower_layer_mean_temperature_k,ridge_regression,full_3channel,global,,240,1.4128312631705808,1.1125054460416075,-7.529353683691417e-05,14.459286213124718,0.09771099640369187,90.26961327479901
lower_layer_mean_temperature_k,mean_baseline,drop_50_3,global,,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,linear_regression,drop_50_3,global,,240,1.3612436262583796,1.0832707477326229,1.4277178689188948e-05,14.459286213124718,0.09414321054263221,90.62490528346288
lower_layer_mean_temperature_k,ridge_regression,drop_50_3,global,,240,1.4446946313872242,1.1563218102713528,0.0006099190287734757,14.459286213124718,0.09991465761815216,90.05016534552568
lower_layer_mean_temperature_k,mean_baseline,drop_52_8,global,,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,linear_regression,drop_52_8,global,,240,1.6048431112728363,1.2135805232885388,-0.0013643171142033357,14.459286213124718,0.11099047958647623,88.9471980745134
lower_layer_mean_temperature_k,ridge_regression,drop_52_8,global,,240,1.6509890124857267,1.2858849236782457,-2.670739670402137e-05,14.459286213124718,0.11418191660022065,88.62938413856136
lower_layer_mean_temperature_k,mean_baseline,drop_54_4,global,,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,linear_regression,drop_54_4,global,,240,1.6341822308960974,1.3582732063127132,0.005013941780011303,14.459286213124718,0.11301956450746146,88.74513503446529
lower_layer_mean_temperature_k,ridge_regression,drop_54_4,global,,240,1.635346872029542,1.352418166464166,0.004161414743040955,14.459286213124718,0.11310011074717748,88.73711397142691
upper_layer_mean_temperature_k,mean_baseline,full_3channel,global,,240,6.697328834001193,6.314122417112401,-2.2500519965736505e-15,6.669423297192855,1.00418410041841,0.0
upper_layer_mean_temperature_k,linear_regression,full_3channel,global,,240,3.2003181843482653,2.5508266082721094,0.0034760328717705845,6.669423297192855,0.4798493125627926,52.21500595728856
upper_layer_mean_temperature_k,ridge_regression,full_3channel,global,,240,3.279741745816871,2.6910425166357475,0.0011691401419835045,6.669423297192855,0.49175792263737506,51.02910687069473
upper_layer_mean_temperature_k,mean_baseline,drop_50_3,global,,240,6.697328834001193,6.314122417112401,-2.2500519965736505e-15,6.669423297192855,1.00418410041841,0.0
upper_layer_mean_temperature_k,linear_regression,drop_50_3,global,,240,3.216148412333637,2.543346502497592,0.0012543980193921555,6.669423297192855,0.48222286530940484,51.978639662938434
upper_layer_mean_temperature_k,ridge_regression,drop_50_3,global,,240,3.265842975159001,2.6869182421473425,-0.0003968894953877348,6.669423297192855,0.4896739687423329,51.23663394607602
upper_layer_mean_temperature_k,mean_baseline,drop_52_8,global,,240,6.697328834001193,6.314122417112401,-2.2500519965736505e-15,6.669423297192855,1.00418410041841,0.0
upper_layer_mean_temperature_k,linear_regression,drop_52_8,global,,240,3.377874993794152,2.681653143665044,0.00337833734956862,6.669423297192855,0.5064718257148099,49.56384735590018
upper_layer_mean_temperature_k,ridge_regression,drop_52_8,global,,240,3.406164457876131,2.801292938177366,0.000779996689967651,6.669423297192855,0.5107134914213314,49.141448145959075
upper_layer_mean_temperature_k,mean_baseline,drop_54_4,global,,240,6.697328834001193,6.314122417112401,-2.2500519965736505e-15,6.669423297192855,1.00418410041841,0.0
upper_layer_mean_temperature_k,linear_regression,drop_54_4,global,,240,4.422134531902096,3.9447839053420877,-0.01317359955514495,6.669423297192855,0.6630460138530062,33.971667787138124
upper_layer_mean_temperature_k,ridge_regression,drop_54_4,global,,240,4.411670562306466,3.9319563655417054,-0.012501584105637656,6.669423297192855,0.661477067164612,34.12790872819072
